Season,Team,Date,Next Day,Time,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Time Fixed,Query,Query2
2020/2021,Tottenham,2021-04-04,2021-04-05,14:05 ,Matchweek 30,Sun,Away,D,2,2,Newcastle Utd,1.7,2.7,58,,Hugo Lloris,4/4/2002,Craig Pawson,Match Report,,04-04-2021 14:05 ,Tottenham until:2021-04-04,Tottenham until:2021-04-05
2020/2021,Arsenal,2021-04-03,2021-04-04,20:00 ,Matchweek 30,Sat,Home,L,0,3,Liverpool,0.3,2.2,36,,Pierre-Emerick Aubameyang,4-2-3-1,Stuart Attwell,Match Report,,04-03-2021 20:00 ,Arsenal until:2021-04-03,Arsenal until:2021-04-04
2020/2021,Arsenal,2021-03-21,2021-03-22,15:00 ,Matchweek 29,Sun,Away,D,3,3,West Ham,1.7,2.3,63,,Pierre-Emerick Aubameyang,4-2-3-1,Jonathan Moss,Match Report,,03-21-2021 15:00 ,Arsenal until:2021-03-21,Arsenal until:2021-03-22
2020/2021,Tottenham,2021-03-21,2021-03-22,19:30 ,Matchweek 18,Sun,Away,W,2,0,Aston Villa,2.2,0.5,52,,Hugo Lloris,4/4/2002,Mike Dean,Match Report,,03-21-2021 19:30 ,Tottenham until:2021-03-21,Tottenham until:2021-03-22
2020/2021,Arsenal,2021-03-14,2021-03-15,16:30 ,Matchweek 28,Sun,Home,W,2,1,Tottenham,1.7,0.6,52,,Alexandre Lacazette,4-2-3-1,Michael Oliver,Match Report,,03-14-2021 16:30 ,Arsenal until:2021-03-14,Arsenal until:2021-03-15
2020/2021,Tottenham,2021-03-14,2021-03-15,16:30 ,Matchweek 28,Sun,Away,L,1,2,Arsenal,0.6,1.7,48,,Hugo Lloris,4-2-3-1,Michael Oliver,Match Report,,03-14-2021 16:30 ,Tottenham until:2021-03-14,Tottenham until:2021-03-15
2020/2021,Tottenham,2021-03-07,2021-03-08,19:15 ,Matchweek 27,Sun,Home,W,4,1,Crystal Palace,2.7,0.3,62,,Hugo Lloris,4-2-3-1,Stuart Attwell,Match Report,,03-07-2021 19:15 ,Tottenham until:2021-03-07,Tottenham until:2021-03-08
2020/2021,Arsenal,2021-03-06,2021-03-07,12:30 ,Matchweek 27,Sat,Away,D,1,1,Burnley,2.4,1.5,58,,Pierre-Emerick Aubameyang,4-2-3-1,Andre Marriner,Match Report,,03-06-2021 12:30 ,Arsenal until:2021-03-06,Arsenal until:2021-03-07
2020/2021,Tottenham,2021-03-04,2021-03-05,18:00 ,Matchweek 33,Thu,Away,W,1,0,Fulham,1.4,0.8,41,,Hugo Lloris,4-2-3-1,David Coote,Match Report,,03-04-2021 18:00 ,Tottenham until:2021-03-04,Tottenham until:2021-03-05
2020/2021,Arsenal,2021-02-28,2021-03-01,12:00 ,Matchweek 26,Sun,Away,W,3,1,Leicester City,2.2,0.5,57,,Alexandre Lacazette,4-2-3-1,Paul Tierney,Match Report,,02-28-2021 12:00 ,Arsenal until:2021-02-28,Arsenal until:2021-03-01
2020/2021,Tottenham,2021-02-28,2021-03-01,14:00 ,Matchweek 26,Sun,Home,W,4,0,Burnley,2.2,0.5,59,,Hugo Lloris,4-2-3-1,Kevin Friend,Match Report,,02-28-2021 14:00 ,Tottenham until:2021-02-28,Tottenham until:2021-03-01
