Season,Team,Date,Next Day,Time,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Time Fixed,Query,Query2
2018/2019,Tottenham,2018-09-22,2018-09-23,17:30 ,Matchweek 6,Sat,Away,W,2,1,Brighton,2.1,0.8,70,"30,531",Harry Kane,4-2-3-1,Chris Kavanagh,Match Report,,09-22-2018 17:30 ,Tottenham until:2018-09-22,Tottenham until:2018-09-23
2018/2019,Arsenal,2018-09-15,2018-09-16,15:00 ,Matchweek 5,Sat,Away,W,2,1,Newcastle Utd,1.1,0.4,63,"52,165",Petr Čech,4-2-3-1,Lee Probert,Match Report,,09-15-2018 15:00 ,Arsenal until:2018-09-15,Arsenal until:2018-09-16
2018/2019,Tottenham,2018-09-15,2018-09-16,12:30 ,Matchweek 5,Sat,Home,L,1,2,Liverpool,1.4,2.5,60,"80,188",Harry Kane,4-4-2◆,Michael Oliver,Match Report,,09-15-2018 12:30 ,Tottenham until:2018-09-15,Tottenham until:2018-09-16
2018/2019,Arsenal,2018-09-02,2018-09-03,13:30 ,Matchweek 4,Sun,Away,W,3,2,Cardiff City,1.5,1.4,72,"32,316",Petr Čech,4-2-3-1,Anthony Taylor,Match Report,,09-02-2018 13:30 ,Arsenal until:2018-09-02,Arsenal until:2018-09-03
2018/2019,Tottenham,2018-09-02,2018-09-03,16:00 ,Matchweek 4,Sun,Away,L,1,2,Watford,0.6,0.4,66,"20,141",Harry Kane,3/5/2002,Andre Marriner,Match Report,,09-02-2018 16:00 ,Tottenham until:2018-09-02,Tottenham until:2018-09-03
2018/2019,Tottenham,2018-08-27,2018-08-28,20:00 ,Matchweek 3,Mon,Away,W,3,0,Manchester Utd,1.4,1.8,44,"74,400",Hugo Lloris,4-4-2◆,Craig Pawson,Match Report,,08-27-2018 20:00 ,Tottenham until:2018-08-27,Tottenham until:2018-08-28
2018/2019,Arsenal,2018-08-25,2018-08-26,15:00 ,Matchweek 3,Sat,Home,W,3,1,West Ham,1.8,1.6,61,"59,830",Petr Čech,4-2-3-1,Graham Scott,Match Report,,08-25-2018 15:00 ,Arsenal until:2018-08-25,Arsenal until:2018-08-26
2018/2019,Arsenal,2018-08-18,2018-08-19,17:30 ,Matchweek 2,Sat,Away,L,2,3,Chelsea,2.1,2.6,38,"40,491",Petr Čech,4-2-3-1,Martin Atkinson,Match Report,,08-18-2018 17:30 ,Arsenal until:2018-08-18,Arsenal until:2018-08-19
2018/2019,Tottenham,2018-08-18,2018-08-19,15:00 ,Matchweek 2,Sat,Home,W,3,1,Fulham,3.1,1.2,59,"58,297",Hugo Lloris,3/5/2002,Anthony Taylor,Match Report,,08-18-2018 15:00 ,Tottenham until:2018-08-18,Tottenham until:2018-08-19
2018/2019,Arsenal,2018-08-12,2018-08-13,16:00 ,Matchweek 1,Sun,Home,L,0,2,Manchester City,0.6,1.8,43,"59,934",Petr Čech,4-2-3-1,Michael Oliver,Match Report,,08-12-2018 16:00 ,Arsenal until:2018-08-12,Arsenal until:2018-08-13
2018/2019,Tottenham,2018-08-11,2018-08-12,12:30 ,Matchweek 1,Sat,Away,W,2,1,Newcastle Utd,2,0.9,60,"51,749",Hugo Lloris,4-3-2-1,Martin Atkinson,Match Report,,08-11-2018 12:30 ,Tottenham until:2018-08-11,Tottenham until:2018-08-12
2017/2018,Arsenal,2018-05-13,2018-05-14,15:00 ,Matchweek 38,Sun,Away,W,1,0,Huddersfield,2.1,1.5,54,"24,122",Aaron Ramsey,4/3/2003,Michael Oliver,Match Report,,05-13-2018 15:00 ,Arsenal until:2018-05-13,Arsenal until:2018-05-14
2017/2018,Tottenham,2018-05-13,2018-05-14,15:00 ,Matchweek 38,Sun,Home,W,5,4,Leicester City,2.2,1.7,63,"77,841",Hugo Lloris,4-2-3-1,Craig Pawson,Match Report,,05-13-2018 15:00 ,Tottenham until:2018-05-13,Tottenham until:2018-05-14
2017/2018,Arsenal,2018-05-09,2018-05-10,19:45 ,Matchweek 31,Wed,Away,L,1,3,Leicester City,1.4,2.2,60,"32,095",Petr Čech,4/3/2003,Graham Scott,Match Report,,05-09-2018 19:45 ,Arsenal until:2018-05-09,Arsenal until:2018-05-10
2017/2018,Tottenham,2018-05-09,2018-05-10,20:00 ,Matchweek 31,Wed,Home,W,1,0,Newcastle Utd,0.9,1.4,65,"54,923",Hugo Lloris,4-2-3-1,Niel Swarbrick,Match Report,,05-09-2018 20:00 ,Tottenham until:2018-05-09,Tottenham until:2018-05-10
2017/2018,Arsenal,2018-05-06,2018-05-07,16:30 ,Matchweek 37,Sun,Home,W,5,0,Burnley,2.5,0.3,63,"59,540",Petr Čech,4/3/2003,Andre Marriner,Match Report,,05-06-2018 16:30 ,Arsenal until:2018-05-06,Arsenal until:2018-05-07
2017/2018,Tottenham,2018-05-05,2018-05-06,15:00 ,Matchweek 37,Sat,Away,L,0,1,West Brom,1,1.4,76,"23,685",Hugo Lloris,3/4/2003,Mike Jones,Match Report,,05-05-2018 15:00 ,Tottenham until:2018-05-05,Tottenham until:2018-05-06
2017/2018,Tottenham,2018-04-30,2018-05-01,20:00 ,Matchweek 36,Mon,Home,W,2,0,Watford,1.4,0.9,61,"52,675",Hugo Lloris,4-2-3-1,Michael Oliver,Match Report,,04-30-2018 20:00 ,Tottenham until:2018-04-30,Tottenham until:2018-05-01
2017/2018,Arsenal,2018-04-29,2018-04-30,16:30 ,Matchweek 36,Sun,Away,L,1,2,Manchester Utd,0.4,1.7,41,"75,035",Granit Xhaka,4-2-3-1,Kevin Friend,Match Report,,04-29-2018 16:30 ,Arsenal until:2018-04-29,Arsenal until:2018-04-30
2017/2018,Arsenal,2018-04-22,2018-04-23,13:30 ,Matchweek 35,Sun,Home,W,4,1,West Ham,1.5,1.1,67,"59,422",Laurent Koscielny,4/3/2003,Lee Mason,Match Report,,04-22-2018 13:30 ,Arsenal until:2018-04-22,Arsenal until:2018-04-23
2017/2018,Tottenham,2018-04-17,2018-04-18,19:45 ,Matchweek 35,Tue,Away,D,1,1,Brighton,1.2,1,63,"30,440",Hugo Lloris,4-2-3-1,Kevin Friend,Match Report,,04-17-2018 19:45 ,Tottenham until:2018-04-17,Tottenham until:2018-04-18
2017/2018,Arsenal,2018-04-15,2018-04-16,13:30 ,Matchweek 34,Sun,Away,L,1,2,Newcastle Utd,1.1,1.1,71,"52,210",Petr Čech,4/3/2003,Anthony Taylor,Match Report,,04-15-2018 13:30 ,Arsenal until:2018-04-15,Arsenal until:2018-04-16
2017/2018,Tottenham,2018-04-14,2018-04-15,19:45 ,Matchweek 34,Sat,Home,L,1,3,Manchester City,0.5,2.9,48,"80,811",Hugo Lloris,4-2-3-1,Jonathan Moss,Match Report,,04-14-2018 19:45 ,Tottenham until:2018-04-14,Tottenham until:2018-04-15
2017/2018,Arsenal,2018-04-08,2018-04-09,14:15 ,Matchweek 33,Sun,Home,W,3,2,Southampton,1.8,2.2,65,"59,374",Petr Čech,4-2-3-1,Andre Marriner,Match Report,,04-08-2018 14:15 ,Arsenal until:2018-04-08,Arsenal until:2018-04-09
2017/2018,Tottenham,2018-04-07,2018-04-08,15:00 ,Matchweek 33,Sat,Away,W,2,1,Stoke City,1.5,1.4,65,"29,515",Hugo Lloris,4-2-3-1,Graham Scott,Match Report,,04-07-2018 15:00 ,Tottenham until:2018-04-07,Tottenham until:2018-04-08
2017/2018,Arsenal,2018-04-01,2018-04-02,13:30 ,Matchweek 32,Sun,Home,W,3,0,Stoke City,4,0.4,69,"59,371",Jack Wilshere,4-2-3-1,Craig Pawson,Match Report,,04-01-2018 13:30 ,Arsenal until:2018-04-01,Arsenal until:2018-04-02
2017/2018,Tottenham,2018-04-01,2018-04-02,16:00 ,Matchweek 32,Sun,Away,W,3,1,Chelsea,1.1,1.2,52,"41,364",Hugo Lloris,4-2-3-1,Andre Marriner,Match Report,,04-01-2018 16:00 ,Tottenham until:2018-04-01,Tottenham until:2018-04-02
2017/2018,Arsenal,2018-03-11,2018-03-12,13:30 ,Matchweek 30,Sun,Home,W,3,0,Watford,2.8,1.5,59,"59,131",Petr Čech,4-2-3-1,Martin Atkinson,Match Report,,03-11-2018 13:30 ,Arsenal until:2018-03-11,Arsenal until:2018-03-12
2017/2018,Tottenham,2018-03-11,2018-03-12,16:00 ,Matchweek 30,Sun,Away,W,4,1,Bournemouth,2.1,0.8,64,"10,623",Hugo Lloris,4-2-3-1,Mike Dean,Match Report,,03-11-2018 16:00 ,Tottenham until:2018-03-11,Tottenham until:2018-03-12
2017/2018,Arsenal,2018-03-04,2018-03-05,13:30 ,Matchweek 29,Sun,Away,L,1,2,Brighton,1.3,0.9,67,"30,620",Laurent Koscielny,4-2-3-1,Stuart Attwell,Match Report,,03-04-2018 13:30 ,Arsenal until:2018-03-04,Arsenal until:2018-03-05
2017/2018,Tottenham,2018-03-03,2018-03-04,15:00 ,Matchweek 29,Sat,Home,W,2,0,Huddersfield,1.8,0.1,74,"68,311",Hugo Lloris,4-2-3-1,Kevin Friend,Match Report,,03-03-2018 15:00 ,Tottenham until:2018-03-03,Tottenham until:2018-03-04
2017/2018,Arsenal,2018-03-01,2018-03-02,19:45 ,Matchweek 28,Thu,Home,L,0,3,Manchester City,1.3,1.5,46,"58,420",Laurent Koscielny,4-2-3-1,Andre Marriner,Match Report,,03-01-2018 19:45 ,Arsenal until:2018-03-01,Arsenal until:2018-03-02
2017/2018,Tottenham,2018-02-25,2018-02-26,12:00 ,Matchweek 28,Sun,Away,W,1,0,Crystal Palace,1.4,0.3,75,"25,287",Hugo Lloris,4-2-3-1,Kevin Friend,Match Report,,02-25-2018 12:00 ,Tottenham until:2018-02-25,Tottenham until:2018-02-26
2017/2018,Arsenal,2018-02-10,2018-02-11,12:30 ,Matchweek 27,Sat,Away,L,0,1,Tottenham,0.6,2.1,50,"83,222",Laurent Koscielny,4/3/2003,Anthony Taylor,Match Report,,02-10-2018 12:30 ,Arsenal until:2018-02-10,Arsenal until:2018-02-11
2017/2018,Tottenham,2018-02-10,2018-02-11,12:30 ,Matchweek 27,Sat,Home,W,1,0,Arsenal,2.1,0.6,50,"83,222",Hugo Lloris,4-2-3-1,Anthony Taylor,Match Report,,02-10-2018 12:30 ,Tottenham until:2018-02-10,Tottenham until:2018-02-11
2017/2018,Tottenham,2018-02-04,2018-02-05,16:30 ,Matchweek 26,Sun,Away,D,2,2,Liverpool,2.2,1.1,66,"53,213",Hugo Lloris,4-4-2◆,Jonathan Moss,Match Report,,02-04-2018 16:30 ,Tottenham until:2018-02-04,Tottenham until:2018-02-05
2017/2018,Arsenal,2018-02-03,2018-02-04,17:30 ,Matchweek 26,Sat,Home,W,5,1,Everton,2.7,1.2,57,"59,306",Laurent Koscielny,4-2-3-1,Niel Swarbrick,Match Report,,02-03-2018 17:30 ,Arsenal until:2018-02-03,Arsenal until:2018-02-04
2017/2018,Tottenham,2018-01-31,2018-02-01,20:00 ,Matchweek 25,Wed,Home,W,2,0,Manchester Utd,2,1,51,"81,978",Hugo Lloris,4-2-3-1,Andre Marriner,Match Report,,01-31-2018 20:00 ,Tottenham until:2018-01-31,Tottenham until:2018-02-01
2017/2018,Arsenal,2018-01-30,2018-01-31,19:45 ,Matchweek 25,Tue,Away,L,1,3,Swansea City,1,1.7,74,"20,819",Laurent Koscielny,4/3/2003,Lee Mason,Match Report,,01-30-2018 19:45 ,Arsenal until:2018-01-30,Arsenal until:2018-01-31
2017/2018,Tottenham,2018-01-21,2018-01-22,16:00 ,Matchweek 24,Sun,Away,D,1,1,Southampton,2.1,0.8,59,"31,361",Harry Kane,4-2-3-1,Kevin Friend,Match Report,,01-21-2018 16:00 ,Tottenham until:2018-01-21,Tottenham until:2018-01-22
2017/2018,Arsenal,2018-01-20,2018-01-21,15:00 ,Matchweek 24,Sat,Home,W,4,1,Crystal Palace,2.5,0.7,62,"59,386",Laurent Koscielny,4-1-4-1,Chris Kavanagh,Match Report,,01-20-2018 15:00 ,Arsenal until:2018-01-20,Arsenal until:2018-01-21
2017/2018,Arsenal,2018-01-14,2018-01-15,13:30 ,Matchweek 23,Sun,Away,L,1,2,Bournemouth,1.3,1.1,59,"10,836",Petr Čech,3/4/2003,Kevin Friend,Match Report,,01-14-2018 13:30 ,Arsenal until:2018-01-14,Arsenal until:2018-01-15
2017/2018,Tottenham,2018-01-13,2018-01-14,17:30 ,Matchweek 23,Sat,Home,W,4,0,Everton,3.5,0.3,61,"76,251",Hugo Lloris,4-2-3-1,Craig Pawson,Match Report,,01-13-2018 17:30 ,Tottenham until:2018-01-13,Tottenham until:2018-01-14
2017/2018,Tottenham,2018-01-04,2018-01-05,20:00 ,Matchweek 21,Thu,Home,D,1,1,West Ham,2.1,0.3,70,"50,034",Hugo Lloris,4-2-3-1,Mike Dean,Match Report,,01-04-2018 20:00 ,Tottenham until:2018-01-04,Tottenham until:2018-01-05
2017/2018,Arsenal,2018-01-03,2018-01-04,19:45 ,Matchweek 22,Wed,Home,D,2,2,Chelsea,1.6,3.2,59,"59,379",Petr Čech,3/4/2003,Anthony Taylor,Match Report,,01-03-2018 19:45 ,Arsenal until:2018-01-03,Arsenal until:2018-01-04
2017/2018,Tottenham,2018-01-02,2018-01-03,19:45 ,Matchweek 22,Tue,Away,W,2,0,Swansea City,1.4,0.4,67,"20,615",Hugo Lloris,4-2-3-1,Robert Madley,Match Report,,01-02-2018 19:45 ,Tottenham until:2018-01-02,Tottenham until:2018-01-03
2017/2018,Arsenal,2017-12-31,2018-01-01,16:30 ,Matchweek 21,Sun,Away,D,1,1,West Brom,1.4,1.6,65,"26,223",Laurent Koscielny,3/4/2003,Mike Dean,Match Report,,12-31-2017 16:30 ,Arsenal until:2017-12-31,Arsenal until:2018-01-01
2017/2018,Arsenal,2017-12-28,2017-12-29,20:00 ,Matchweek 20,Thu,Away,W,3,2,Crystal Palace,1.2,1.2,64,"25,762",Laurent Koscielny,3/4/2003,Michael Oliver,Match Report,,12-28-2017 20:00 ,Arsenal until:2017-12-28,Arsenal until:2017-12-29
2017/2018,Tottenham,2017-12-26,2017-12-27,12:30 ,Matchweek 20,Tue,Home,W,5,2,Southampton,3,1.1,56,"55,412",Hugo Lloris,4-2-3-1,Graham Scott,Match Report,,12-26-2017 12:30 ,Tottenham until:2017-12-26,Tottenham until:2017-12-27
2017/2018,Tottenham,2017-12-23,2017-12-24,17:30 ,Matchweek 19,Sat,Away,W,3,0,Burnley,3.9,0.3,60,"21,650",Hugo Lloris,4-2-3-1,Michael Oliver,Match Report,,12-23-2017 17:30 ,Tottenham until:2017-12-23,Tottenham until:2017-12-24
2017/2018,Arsenal,2017-12-22,2017-12-23,19:45 ,Matchweek 19,Fri,Home,D,3,3,Liverpool,1.1,2.1,54,"59,409",Laurent Koscielny,4-2-3-1,Martin Atkinson,Match Report,,12-22-2017 19:45 ,Arsenal until:2017-12-22,Arsenal until:2017-12-23
2017/2018,Arsenal,2017-12-16,2017-12-17,15:00 ,Matchweek 18,Sat,Home,W,1,0,Newcastle Utd,1.8,0.4,71,"59,379",Laurent Koscielny,4/3/2003,Stuart Attwell,Match Report,,12-16-2017 15:00 ,Arsenal until:2017-12-16,Arsenal until:2017-12-17
2017/2018,Tottenham,2017-12-16,2017-12-17,17:30 ,Matchweek 18,Sat,Away,L,1,4,Manchester City,0.3,4.4,48,"54,214",Hugo Lloris,4-4-2◆,Craig Pawson,Match Report,,12-16-2017 17:30 ,Tottenham until:2017-12-16,Tottenham until:2017-12-17
2017/2018,Arsenal,2017-12-13,2017-12-14,20:00 ,Matchweek 17,Wed,Away,D,0,0,West Ham,1.2,0.6,68,"56,921",Laurent Koscielny,4/3/2003,Jonathan Moss,Match Report,,12-13-2017 20:00 ,Arsenal until:2017-12-13,Arsenal until:2017-12-14
2017/2018,Tottenham,2017-12-13,2017-12-14,20:00 ,Matchweek 17,Wed,Home,W,2,0,Brighton,1.8,0.6,73,"46,438",Hugo Lloris,4-2-3-1,Robert Madley,Match Report,,12-13-2017 20:00 ,Tottenham until:2017-12-13,Tottenham until:2017-12-14
2017/2018,Arsenal,2017-12-10,2017-12-11,12:00 ,Matchweek 16,Sun,Away,D,1,1,Southampton,0.8,1.5,67,"31,643",Per Mertesacker,3/4/2003,Robert Madley,Match Report,,12-10-2017 12:00 ,Arsenal until:2017-12-10,Arsenal until:2017-12-11
2017/2018,Tottenham,2017-12-09,2017-12-10,15:00 ,Matchweek 16,Sat,Home,W,5,1,Stoke City,3.4,0.6,70,"62,202",Hugo Lloris,4-2-3-1,Roger East,Match Report,,12-09-2017 15:00 ,Tottenham until:2017-12-09,Tottenham until:2017-12-10
2017/2018,Arsenal,2017-12-02,2017-12-03,17:30 ,Matchweek 15,Sat,Home,L,1,3,Manchester Utd,3.8,2.4,75,"59,547",Laurent Koscielny,3/4/2003,Andre Marriner,Match Report,,12-02-2017 17:30 ,Arsenal until:2017-12-02,Arsenal until:2017-12-03
2017/2018,Tottenham,2017-12-02,2017-12-03,15:00 ,Matchweek 15,Sat,Away,D,1,1,Watford,1.1,0.3,50,"20,278",Hugo Lloris,4-2-3-1,Martin Atkinson,Match Report,,12-02-2017 15:00 ,Tottenham until:2017-12-02,Tottenham until:2017-12-03
2017/2018,Arsenal,2017-11-29,2017-11-30,19:45 ,Matchweek 14,Wed,Home,W,5,0,Huddersfield,4.5,0.8,69,"59,285",Laurent Koscielny,3/4/2003,Graham Scott,Match Report,,11-29-2017 19:45 ,Arsenal until:2017-11-29,Arsenal until:2017-11-30
2017/2018,Tottenham,2017-11-28,2017-11-29,19:45 ,Matchweek 14,Tue,Away,L,1,2,Leicester City,2.6,0.6,61,"31,950",Hugo Lloris,3/5/2002,Anthony Taylor,Match Report,,11-28-2017 19:45 ,Tottenham until:2017-11-28,Tottenham until:2017-11-29
2017/2018,Arsenal,2017-11-26,2017-11-27,14:00 ,Matchweek 13,Sun,Away,W,1,0,Burnley,1.8,0.4,63,"21,722",Laurent Koscielny,3/4/2003,Lee Mason,Match Report,,11-26-2017 14:00 ,Arsenal until:2017-11-26,Arsenal until:2017-11-27
2017/2018,Tottenham,2017-11-25,2017-11-26,15:00 ,Matchweek 13,Sat,Home,D,1,1,West Brom,1.6,0.7,71,"65,905",Hugo Lloris,3/5/2002,Mike Jones,Match Report,,11-25-2017 15:00 ,Tottenham until:2017-11-25,Tottenham until:2017-11-26
2017/2018,Arsenal,2017-11-18,2017-11-19,12:30 ,Matchweek 12,Sat,Home,W,2,0,Tottenham,1.4,1.4,42,"59,530",Laurent Koscielny,3/4/2003,Mike Dean,Match Report,,11-18-2017 12:30 ,Arsenal until:2017-11-18,Arsenal until:2017-11-19
2017/2018,Tottenham,2017-11-18,2017-11-19,12:30 ,Matchweek 12,Sat,Away,L,0,2,Arsenal,1.4,1.4,58,"59,530",Hugo Lloris,3/5/2002,Mike Dean,Match Report,,11-18-2017 12:30 ,Tottenham until:2017-11-18,Tottenham until:2017-11-19
2017/2018,Arsenal,2017-11-05,2017-11-06,14:15 ,Matchweek 11,Sun,Away,L,1,3,Manchester City,0.4,2,42,"54,286",Laurent Koscielny,3/4/2003,Michael Oliver,Match Report,,11-05-2017 14:15 ,Arsenal until:2017-11-05,Arsenal until:2017-11-06
2017/2018,Tottenham,2017-11-05,2017-11-06,12:00 ,Matchweek 11,Sun,Home,W,1,0,Crystal Palace,0.9,1,68,"65,270",Harry Kane,3-5-1-1,Kevin Friend,Match Report,,11-05-2017 12:00 ,Tottenham until:2017-11-05,Tottenham until:2017-11-06
2017/2018,Arsenal,2017-10-28,2017-10-29,15:00 ,Matchweek 10,Sat,Home,W,2,1,Swansea City,1.6,0.6,72,"59,493",Per Mertesacker,3/4/2003,Lee Mason,Match Report,,10-28-2017 15:00 ,Arsenal until:2017-10-28,Arsenal until:2017-10-29
2017/2018,Tottenham,2017-10-28,2017-10-29,12:30 ,Matchweek 10,Sat,Away,L,0,1,Manchester Utd,1,0.8,55,"75,034",Hugo Lloris,3-5-1-1,Jonathan Moss,Match Report,,10-28-2017 12:30 ,Tottenham until:2017-10-28,Tottenham until:2017-10-29
2017/2018,Arsenal,2017-10-22,2017-10-23,13:30 ,Matchweek 9,Sun,Away,W,5,2,Everton,2.8,1.3,67,"39,189",Per Mertesacker,3/4/2003,Craig Pawson,Match Report,,10-22-2017 13:30 ,Arsenal until:2017-10-22,Arsenal until:2017-10-23
2017/2018,Tottenham,2017-10-22,2017-10-23,16:00 ,Matchweek 9,Sun,Home,W,4,1,Liverpool,1.8,0.6,37,"80,827",Hugo Lloris,3/5/2002,Andre Marriner,Match Report,,10-22-2017 16:00 ,Tottenham until:2017-10-22,Tottenham until:2017-10-23
2017/2018,Arsenal,2017-10-14,2017-10-15,17:30 ,Matchweek 8,Sat,Away,L,1,2,Watford,1.1,1.8,54,"20,384",Per Mertesacker,3/4/2003,Niel Swarbrick,Match Report,,10-14-2017 17:30 ,Arsenal until:2017-10-14,Arsenal until:2017-10-15
2017/2018,Tottenham,2017-10-14,2017-10-15,15:00 ,Matchweek 8,Sat,Home,W,1,0,Bournemouth,2.4,0.4,73,"73,502",Hugo Lloris,4-2-3-1,Robert Madley,Match Report,,10-14-2017 15:00 ,Tottenham until:2017-10-14,Tottenham until:2017-10-15
2017/2018,Arsenal,2017-10-01,2017-10-02,12:00 ,Matchweek 7,Sun,Home,W,2,0,Brighton,3,0.4,63,"59,378",Petr Čech,3/4/2003,Kevin Friend,Match Report,,10-01-2017 12:00 ,Arsenal until:2017-10-01,Arsenal until:2017-10-02
2017/2018,Tottenham,2017-09-30,2017-10-01,12:30 ,Matchweek 7,Sat,Away,W,4,0,Huddersfield,2,0.2,59,"24,169",Hugo Lloris,3/4/2003,Niel Swarbrick,Match Report,,09-30-2017 12:30 ,Tottenham until:2017-09-30,Tottenham until:2017-10-01
2017/2018,Arsenal,2017-09-25,2017-09-26,20:00 ,Matchweek 6,Mon,Home,W,2,0,West Brom,2.4,0.7,69,"59,134",Laurent Koscielny,3/4/2003,Robert Madley,Match Report,,09-25-2017 20:00 ,Arsenal until:2017-09-25,Arsenal until:2017-09-26
2017/2018,Tottenham,2017-09-23,2017-09-24,12:30 ,Matchweek 6,Sat,Away,W,3,2,West Ham,1.5,0.9,50,"56,988",Hugo Lloris,3-5-1-1,Michael Oliver,Match Report,,09-23-2017 12:30 ,Tottenham until:2017-09-23,Tottenham until:2017-09-24
2017/2018,Arsenal,2017-09-17,2017-09-18,13:30 ,Matchweek 5,Sun,Away,D,0,0,Chelsea,1.4,0.8,48,"41,478",Laurent Koscielny,3/4/2003,Michael Oliver,Match Report,,09-17-2017 13:30 ,Arsenal until:2017-09-17,Arsenal until:2017-09-18
2017/2018,Tottenham,2017-09-16,2017-09-17,17:30 ,Matchweek 5,Sat,Home,D,0,0,Swansea City,1.5,0.2,75,"65,366",Hugo Lloris,3-5-1-1,Mike Dean,Match Report,,09-16-2017 17:30 ,Tottenham until:2017-09-16,Tottenham until:2017-09-17
2017/2018,Arsenal,2017-09-09,2017-09-10,15:00 ,Matchweek 4,Sat,Home,W,3,0,Bournemouth,2,0.9,58,"59,262",Laurent Koscielny,3/4/2003,Anthony Taylor,Match Report,,09-09-2017 15:00 ,Arsenal until:2017-09-09,Arsenal until:2017-09-10
2017/2018,Tottenham,2017-09-09,2017-09-10,15:00 ,Matchweek 4,Sat,Away,W,3,0,Everton,2,0.9,50,"38,835",Hugo Lloris,3-5-1-1,Graham Scott,Match Report,,09-09-2017 15:00 ,Tottenham until:2017-09-09,Tottenham until:2017-09-10
2017/2018,Arsenal,2017-08-27,2017-08-28,16:00 ,Matchweek 3,Sun,Away,L,0,4,Liverpool,0.7,3,51,"53,206",Laurent Koscielny,3/4/2003,Craig Pawson,Match Report,,08-27-2017 16:00 ,Arsenal until:2017-08-27,Arsenal until:2017-08-28
2017/2018,Tottenham,2017-08-27,2017-08-28,16:00 ,Matchweek 3,Sun,Home,D,1,1,Burnley,2.3,0.9,66,"67,862",Hugo Lloris,4-2-3-1,Lee Mason,Match Report,,08-27-2017 16:00 ,Tottenham until:2017-08-27,Tottenham until:2017-08-28
2017/2018,Tottenham,2017-08-20,2017-08-21,16:00 ,Matchweek 2,Sun,Home,L,1,2,Chelsea,0.6,0.8,68,"73,587",Hugo Lloris,4-3-2-1,Anthony Taylor,Match Report,,08-20-2017 16:00 ,Tottenham until:2017-08-20,Tottenham until:2017-08-21
2017/2018,Arsenal,2017-08-19,2017-08-20,17:30 ,Matchweek 2,Sat,Away,L,0,1,Stoke City,1.6,1,76,"29,459",Petr Čech,3/4/2003,Andre Marriner,Match Report,,08-19-2017 17:30 ,Arsenal until:2017-08-19,Arsenal until:2017-08-20
2017/2018,Tottenham,2017-08-13,2017-08-14,13:30 ,Matchweek 1,Sun,Away,W,2,0,Newcastle Utd,1.9,0.6,72,"52,077",Hugo Lloris,4-2-3-1,Andre Marriner,Match Report,,08-13-2017 13:30 ,Tottenham until:2017-08-13,Tottenham until:2017-08-14
2017/2018,Arsenal,2017-08-11,2017-08-12,19:45 ,Matchweek 1,Fri,Home,W,4,3,Leicester City,2.3,1.3,69,"59,387",Petr Čech,3/4/2003,Mike Dean,Match Report,,08-11-2017 19:45 ,Arsenal until:2017-08-11,Arsenal until:2017-08-12
